Age32-40, State-gov, Bachelors,EduNum13, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour1-20, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, 11th,EduNum7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,Hour36-50, Cuba, <=50K
Age32-40, Private, Masters,EduNum14, Married-civ-spouse, Exec-managerial, Wife, White, Female,Hour36-50, United-States, <=50K
Age41-50, Private, 9th,EduNum5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,Hour1-20, Jamaica, <=50K
Age51-60, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, Masters,EduNum14, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, >50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Hour71-99, United-States, >50K
Age24-31, State-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Hour36-50, India, >50K
Age17-23, Private, Bachelors,EduNum13, Never-married, Adm-clerical, Own-child, White, Female,Hour21-35, United-States, <=50K
Age32-40, Private, Assoc-acdm,EduNum12, Never-married, Sales, Not-in-family, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Assoc-voc,EduNum11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,Hour36-50, ?, >50K
Age32-40, Private, 7th-8th,EduNum4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,Hour36-50, Mexico, <=50K
Age24-31, Self-emp-not-inc, HS-grad,EduNum9, Never-married, Farming-fishing, Own-child, White, Male,Hour21-35, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Machine-op-inspct, Unmarried, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, 11th,EduNum7, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, Masters,EduNum14, Divorced, Exec-managerial, Unmarried, White, Female,Hour36-50, United-States, >50K
Age32-40, Private, Doctorate,EduNum16, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, >50K
Age51-60, Private, HS-grad,EduNum9, Separated, Other-service, Unmarried, Black, Female,Hour1-20, United-States, <=50K
Age32-40, Federal-gov, 9th,EduNum5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,Hour36-50, United-States, <=50K
Age41-50, Private, 11th,EduNum7, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Divorced, Tech-support, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age51-60, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Craft-repair, Own-child, White, Male,Hour36-50, United-States, <=50K
Age51-60, ?, Some-college,EduNum10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,Hour51-70, South, >50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Exec-managerial, Not-in-family, White, Male,Hour71-99, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Local-gov, Assoc-acdm,EduNum12, Never-married, Protective-serv, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Sales, Own-child, Black, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Divorced, Exec-managerial, Own-child, White, Male,Hour36-50, United-States, <=50K
Age24-31, Federal-gov, Some-college,EduNum10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, State-gov, Some-college,EduNum10, Married-civ-spouse, Other-service, Husband, Black, Male,Hour1-20, United-States, <=50K
Age41-50, Private, 11th,EduNum7, Never-married, Machine-op-inspct, Unmarried, White, Male,Hour36-50, Puerto-Rico, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Machine-op-inspct, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Married-AF-spouse, Adm-clerical, Wife, White, Female,Hour21-35, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, ?, >50K
Age41-50, Self-emp-not-inc, Assoc-acdm,EduNum12, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, 9th,EduNum5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Separated, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour21-35, United-States, <=50K
Age51-60, Federal-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,Hour36-50, United-States, >50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Masters,EduNum14, Divorced, Exec-managerial, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age41-50, State-gov, Assoc-voc,EduNum11, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Assoc-voc,EduNum11, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Other-service, Own-child, White, Female,Hour21-35, ?, <=50K
Age41-50, Private, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour51-70, Honduras, >50K
Age41-50, Federal-gov, Bachelors,EduNum13, Divorced, Exec-managerial, Not-in-family, White, Male,Hour51-70, United-States, >50K
Age41-50, Self-emp-inc, HS-grad,EduNum9, Divorced, Exec-managerial, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age41-50, Private, Some-college,EduNum10, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, 5th-6th,EduNum3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, Mexico, <=50K
Age32-40, Private, Assoc-voc,EduNum11, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, Puerto-Rico, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, ?, 7th-8th,EduNum4, Married-spouse-absent, ?, Not-in-family, White, Male,Hour36-50, ?, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Doctorate,EduNum16, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, Some-college,EduNum10, Divorced, Tech-support, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, United-States, >50K
Age41-50, Self-emp-inc, Some-college,EduNum10, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, ?, Some-college,EduNum10, Never-married, ?, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Prof-specialty, Own-child, White, Male,Hour21-35, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Separated, Sales, Own-child, Black, Female,Hour36-50, United-States, <=50K
Age24-31, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States, >50K
Age17-23, Private, Some-college,EduNum10, Never-married, Machine-op-inspct, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age71-80, Private, Some-college,EduNum10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,Hour1-20, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Other-service, Own-child, White, Male,Hour36-50, Mexico, <=50K
Age32-40, Private, Assoc-acdm,EduNum12, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States, <=50K
Age61-70, ?, 10th,EduNum6, Married-civ-spouse, ?, Husband, White, Male,Hour1-20, United-States, <=50K
Age17-23, Private, 11th,EduNum7, Never-married, Other-service, Own-child, White, Female,Hour21-35, United-States, <=50K
Age24-31, Local-gov, 7th-8th,EduNum4, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Sales, Not-in-family, White, Male,Hour21-35, United-States, <=50K
Age51-60, Private, Bachelors,EduNum13, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, Cuba, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Other-service, Wife, White, Female,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Divorced, Craft-repair, Not-in-family, White, Female,Hour36-50, United-States, >50K
Age51-60, Private, HS-grad,EduNum9, Divorced, Sales, Own-child, White, Female,Hour21-35, United-States, <=50K
Age41-50, Local-gov, HS-grad,EduNum9, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, 9th,EduNum5, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Federal-gov, Doctorate,EduNum16, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, >50K
Age51-60, Private, Assoc-voc,EduNum11, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Divorced, Craft-repair, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Divorced, Machine-op-inspct, Unmarried, Black, Female,Hour21-35, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,Hour21-35, ?, <=50K
Age32-40, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Local-gov, Some-college,EduNum10, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, Doctorate,EduNum16, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, >50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, Assoc-acdm,EduNum12, Divorced, Exec-managerial, Unmarried, White, Female,Hour36-50, England, <=50K
Age32-40, Federal-gov, HS-grad,EduNum9, Never-married, Other-service, Own-child, Black, Male,Hour36-50, United-States, <=50K
Age71-80, Private, Masters,EduNum14, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States, >50K
Age41-50, Self-emp-not-inc, Masters,EduNum14, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Tech-support, Own-child, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Self-emp-inc, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, ?, 10th,EduNum6, Never-married, ?, Own-child, White, Female,Hour21-35, United-States, <=50K
Age24-31, Private, 11th,EduNum7, Never-married, Handlers-cleaners, Own-child, White, Male,Hour36-50, United-States, <=50K
Age24-31, Local-gov, HS-grad,EduNum9, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Sales, Other-relative, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age51-60, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, Canada, >50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Sales, Wife, White, Female,Hour21-35, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Machine-op-inspct, Own-child, White, Female,Hour36-50, United-States, <=50K
Age51-60, Private, 9th,EduNum5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, Self-emp-inc, Some-college,EduNum10, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Local-gov, Assoc-voc,EduNum11, Married-civ-spouse, Craft-repair, Husband, Black, Male,Hour36-50, United-States, >50K
